id,attr_time,attr_x,attr_y,attr_z
1,1437144618009,-0.88525605,9.546281,1.2551602
2,1437144618031,-0.93493575,9.524733,1.299453
3,1437144618049,-0.8882488,9.551667,1.2497733
4,1437144618070,-0.82360536,9.554661,1.2042835
5,1437144618089,-0.85891986,9.536105,1.1719618
6,1437144618111,-0.8882488,9.472659,1.1917139
7,1437144618129,-0.89782566,9.456498,1.1857284
8,1437144618148,-0.89184016,9.476849,1.1773487
9,1437144618169,-0.78290397,9.514558,1.3323733
10,1437144618221,-0.9660604,9.560047,1.751957
11,1437144618222,-0.82779527,9.5809965,0.7284359
12,1437144618239,-0.7517793,9.565434,0.9792285
13,1437144618252,-0.9331401,9.7324295,1.4598645
14,1437144618270,-0.96785605,9.700109,1.2473791
15,1437144618290,-0.97982705,9.76535,1.3227965
16,1437144618313,-0.7823054,9.515156,1.1390414
17,1437144618330,-0.7697359,9.437943,1.1390414
18,1437144618367,-0.84575176,9.511565,1.2012907
19,1437144618391,-0.83018947,9.585187,1.0714053
20,1437144618392,-0.81043726,9.558251,1.0366893
21,1437144618410,-0.7505822,9.604341,1.1731589
22,1437144618432,-0.8122329,9.630676,1.2623428
23,1437144618450,-0.90021986,9.616311,1.2635399
24,1437144618470,-0.9259575,9.64983,1.2707225
25,1437144618490,-0.87089086,9.657611,1.2204443
26,1437144618510,-0.79607207,9.648034,1.1761516
27,1437144618530,-0.7703344,9.620501,1.1312603
28,1437144618550,-0.7858967,9.536105,1.1049241
29,1437144618570,-0.8511387,9.494805,1.1408371
30,1437144618591,-0.83856916,9.49301,1.1737574
31,1437144618610,-0.81402856,9.543886,1.1857284
32,1437144618630,-0.7565677,9.60853,1.1569979
33,1437144618650,-0.83378077,9.609727,1.1755531
34,1437144618670,-0.8439561,9.592369,1.1330559
35,1437144618689,-0.866701,9.582792,1.2036849
36,1437144618709,-0.7404069,9.598953,0.84455466
37,1437144618729,-0.66020113,9.543288,1.1845313
38,1437144618749,-0.91458505,9.570223,1.7322049
39,1437144618769,-0.88765025,9.725846,0.83378077
40,1437144618789,-0.6703765,9.68694,0.8194155
41,1437144618809,-0.8750807,9.599552,1.3174095
42,1437144618829,-0.9379285,9.537302,1.2880806
