id,attr_time,attr_x,attr_y,attr_z
1,1437144618018,2.0332758,9.964069,-0.2825158
2,1437144618031,2.098518,9.931149,-0.25079262
3,1437144618054,2.0961237,9.92636,-0.25797522
4,1437144618071,2.0907366,9.916783,-0.2172738
5,1437144618091,1.9841946,9.997588,-0.24301147
6,1437144618113,1.988983,9.9951935,-0.31004912
7,1437144618132,2.071583,9.958083,-0.2705448
8,1437144618152,2.106299,9.9233675,-0.2717419
9,1437144618173,2.2170308,9.909601,-0.20649989
10,1437144618194,2.0745757,9.922769,-0.2184709
11,1437144618211,1.9949685,9.97185,-0.25258827
12,1437144618234,1.9656396,10.018537,-0.26994625
13,1437144618254,2.0536265,9.943718,-0.21428105
14,1437144618274,2.0500352,9.937134,-0.2088941
15,1437144618294,2.059612,9.927557,-0.19692309
16,1437144618314,2.03567,9.951499,-0.23702596
17,1437144618334,2.0907366,9.943718,-0.2184709
18,1437144618354,2.086547,9.964667,-0.19572599
19,1437144618374,2.0667946,9.957485,-0.19512744
20,1437144618393,2.006341,9.96347,-0.19033903
21,1437144618413,2.1039047,10.002377,-0.17776948
22,1437144618435,2.006341,9.955689,-0.1316811
23,1437144618454,2.043451,9.982025,-0.20829555
24,1437144618474,1.9375077,9.952697,-0.20649989
25,1437144618494,2.0362685,9.920973,-0.20051439
26,1437144618515,1.9853917,9.950302,-0.16579847
27,1437144618535,1.905186,10.014347,-0.1436521
28,1437144618554,2.0763714,9.959879,-0.16160862
29,1437144618575,2.0560207,9.946113,-0.17776948
30,1437144618598,2.0069396,9.964667,-0.16400282
31,1437144618619,1.9321208,9.993398,-0.15203181
32,1437144618636,1.9369092,9.967062,-0.16160862
33,1437144618660,1.9812019,9.97604,-0.1352724
34,1437144618722,1.9572599,9.935937,-0.1376666
35,1437144618723,1.8926164,9.986814,-0.093972415
36,1437144618724,1.9758149,10.039486,-0.13108255
37,1437144618754,2.0219033,9.985018,-0.10235212
38,1437144618755,2.0440497,9.941922,-0.073621705
39,1437144618772,1.9877859,9.932944,-0.08559271
40,1437144618798,1.8668787,9.988011,-0.092176765
41,1437144618814,1.894412,9.99639,-0.11731588
42,1437144618833,1.9548657,9.965266,-0.079008654
43,1437144618867,1.8770541,9.960478,-0.090381116
44,1437144618873,1.8327614,9.986216,-0.07182605
45,1437144618900,1.9069817,10.033501,-0.061052144
46,1437144618913,1.970428,10.005369,-0.08738836
47,1437144618935,2.0266917,9.949105,-0.034715924
48,1437144618952,1.9387048,9.946113,-0.025139118
49,1437144618975,1.9135658,9.988609,-0.04129998
50,1437144618995,1.9315223,9.982025,0.0053869537
51,1437144619015,1.7561469,10.007763,-0.077213004
52,1437144619032,1.6962919,10.024523,-0.021547815
53,1437144619052,1.816002,9.981427,-0.109534726
54,1437144619072,1.9901801,9.983821,-0.06284779
55,1437144619095,1.941099,9.967062,0.038905777
56,1437144619117,1.7998412,9.94312,0.05805939
57,1437144619134,1.7824832,10.047866,0.05686229
58,1437144619155,1.8076223,10.042479,0.019153614
59,1437144619173,1.8938135,9.9550905,0.044292733
60,1437144619193,1.8920178,9.901819,0.09696517
61,1437144619212,1.8022354,9.96347,0.09816227
62,1437144619237,1.7657237,10.1382475,0.046686932
63,1437144619258,1.8842367,10.043676,0.14065935
64,1437144619278,1.8632874,9.993997,0.17657238
65,1437144619295,1.827973,10.001179,0.09995792
66,1437144619312,1.8507179,9.979631,0.24720132
67,1437144619333,1.7561469,10.020332,0.23762453
68,1437144619352,1.8477252,9.988609,0.24839842
69,1437144619375,2.03567,9.948506,0.2657564
70,1437144619394,1.9841946,9.898827,0.29927522
71,1437144619465,1.8483237,9.883265,0.18614918
72,1437144619466,1.8136078,9.751583,0.35434186
73,1437144619467,1.1653777,10.023325,0.4830302
74,1437144619474,1.3120226,10.395624,0.32441434
75,1437144619495,1.8716671,10.120291,0.5626374
76,1437144619514,2.0488381,9.965266,0.47345337
77,1437144619533,1.9979613,9.911396,0.40761283
78,1437144619558,1.7340006,9.928755,0.45370123
79,1437144619574,1.654992,9.929353,0.3842694
80,1437144619600,1.5969325,9.8276,0.44592008
81,1437144619625,1.3000516,9.901819,0.64703304
82,1437144619635,0.7757214,10.257359,0.5835867
83,1437144619658,1.1043255,10.212467,0.7194576
84,1437144619674,1.5334862,10.008362,0.6997054
85,1437144619695,1.7645266,9.985617,0.6488287
86,1437144619715,1.6118963,9.953894,0.641646
87,1437144619736,1.2808979,9.931747,0.5758055
88,1437144619756,1.0815806,10.002377,0.5722142
89,1437144619776,1.1779473,10.1460285,0.7691373
90,1437144619796,1.5448587,10.016742,0.7428011
91,1437144619815,1.4083891,9.944916,0.57640404
92,1437144619837,1.3910311,10.01315,0.49200845
93,1437144619854,1.46585,9.953295,0.53211135
94,1437144619876,1.2539631,10.003573,0.57281274
95,1437144619897,1.2312182,10.057443,0.6147113
96,1437144619918,1.3180081,10.078991,0.6039374
97,1437144619938,1.6244658,10.016742,0.60932434
98,1437144619953,1.5029601,9.93474,0.5710171
99,1437144619973,1.2707225,10.005369,0.51355624
100,1437144619993,1.4927847,9.986814,0.5021838
101,1437144620014,1.3563153,9.993997,0.6003461
102,1437144620039,1.1432313,10.070012,0.52852005
103,1437144620059,1.2862848,10.156802,0.5117606
104,1437144620079,1.5652094,10.073604,0.48722005
105,1437144620094,1.6160861,10.026319,0.4997896
106,1437144620114,1.4933833,10.017939,0.5315128
107,1437144620286,1.3628993,10.008362,0.59495914
108,1437144620287,1.4377182,10.029909,0.52253455
109,1437144620288,1.6041151,10.017939,0.5650316
110,1437144620289,1.5328877,10.044873,0.50637364
111,1437144620290,1.4760253,10.001778,0.5009867
112,1437144620291,1.5286977,10.020332,0.4878186
113,1437144620292,1.555034,10.065224,0.5422867
114,1437144620293,1.5245079,10.043676,0.46686932
115,1437144620320,1.4413095,10.03769,0.46148238
116,1437144620321,1.4850036,10.035895,0.4973954
117,1437144620364,1.5676036,10.010158,0.48003745
118,1437144620365,1.5346833,10.032902,0.48961425
119,1437144620384,1.555034,10.043077,0.49081135
120,1437144620404,1.608305,10.028712,0.45130703
121,1437144620418,1.5807717,10.010756,0.4818331
122,1437144620436,1.525705,9.988011,0.48003745
123,1437144620456,1.5059528,10.00896,0.43634325
124,1437144620476,1.4975731,9.998186,0.44113165
125,1437144620494,1.5891514,10.019734,0.4309563
126,1437144620514,1.5622166,10.005369,0.47465047
127,1437144620534,1.5646108,10.040085,0.45429978
128,1437144620555,1.6448165,10.00896,0.51595044
129,1437144620576,1.6657659,9.970653,0.42197806
130,1437144620597,1.5819688,10.008362,0.4381389
131,1437144620618,1.5358804,10.013748,0.46447513
132,1437144620637,1.5634137,9.997588,0.44951138
133,1437144620660,1.6376339,10.027515,0.44472298
134,1437144620683,1.5155296,10.024523,0.46507367
135,1437144620695,1.4718355,10.032304,0.41000703
136,1437144620714,1.5711949,10.047866,0.40282443
137,1437144620734,1.5634137,10.0341,0.4201824
138,1437144620756,1.6358383,10.010756,0.4357447
139,1437144620774,1.757344,9.960478,0.45010993
140,1437144620798,1.614889,9.968259,0.40282443
141,1437144620817,1.6142905,10.044873,0.43514615
142,1437144620837,1.5526398,10.036493,0.42676646
143,1437144620857,1.5915456,10.027515,0.4165911
