id,attr_time,attr_x,attr_y,attr_z
1,1437143340033,-2.3403323,9.2787285,1.3162124
2,1437143340034,-2.3588872,9.303269,1.3084313
3,1437143340040,-2.4061728,9.316438,1.3413515
4,1437143340059,-2.4193408,9.351752,1.3575124
5,1437143340080,-2.2798786,9.2907,1.264737
6,1437143340105,-2.2786815,9.228451,1.3377602
7,1437143340119,-2.3475149,9.273342,1.3317747
8,1437143340140,-2.4019828,9.333197,1.3335704
9,1437143340161,-2.4516625,9.295488,1.3569138
10,1437143340180,-2.369661,9.255385,1.3335704
11,1437143340201,-2.3169887,9.238626,1.283292
12,1437143340220,-2.3199813,9.258977,1.2868834
13,1437143340239,-2.3259668,9.284116,1.3096284
14,1437143340260,-2.3469162,9.303867,1.2749124
15,1437143340279,-2.3678656,9.305065,1.2575544
16,1437143340300,-2.3529017,9.271546,1.2755109
17,1437143340321,-2.348712,9.257779,1.2719196
18,1437143340342,-2.3409307,9.2787285,1.2629414
19,1437143340361,-2.328361,9.302073,1.2449849
20,1437143340382,-2.2948422,9.3026705,1.2162545
21,1437143340401,-2.3068132,9.284714,1.1994951
22,1437143340422,-2.3505075,9.294889,1.2761095
23,1437143340442,-2.3517046,9.3182335,1.2078748
24,1437143340461,-2.3133974,9.317635,1.2635399
25,1437143340479,-2.3211784,9.247005,1.2330139
26,1437143340500,-2.3756466,9.263765,1.3581109
27,1437143340522,-2.2056582,9.376292,1.0935516
28,1437143340541,-2.2188265,9.333796,1.1025299
29,1437143340561,-2.3463178,9.239224,1.2802993
30,1437143340583,-2.4384944,9.291298,1.3395559
31,1437143340602,-2.3546975,9.391854,1.2449849
32,1437143340623,-2.348712,9.323022,1.1815386
33,1437143340641,-2.3002293,9.317036,1.1683705
34,1437143340660,-2.2409728,9.333796,1.1540052
35,1437143340680,-2.3133974,9.312247,1.2246342
36,1437143340713,-2.345719,9.2625675,1.1665748
37,1437143340720,-2.343325,9.288305,1.2138603
38,1437143340886,-2.3355439,9.354146,1.033098
39,1437143340887,-2.2439656,9.3182335,1.110311
40,1437143340892,-2.167351,9.261371,1.1468226
41,1437143340893,-2.2780828,9.259575,1.2485762
42,1437143340894,-2.4468741,9.320028,1.2946646
43,1437143340895,-2.5127146,9.387665,1.2623428
44,1437143340896,-2.4229321,9.405622,1.1959038
45,1437143340897,-2.3570917,9.346964,1.1522095
46,1437143340900,-2.321777,9.276335,1.1773487
47,1437143340920,-2.3038206,9.252393,1.1474211
48,1437143340940,-2.2990322,9.268554,1.1713632
49,1437143340960,-2.396596,9.315839,1.158195
50,1437143340980,-2.4223335,9.3421755,1.1815386
51,1437143341002,-2.3373394,9.283517,1.1899183
52,1437143341020,-2.2529438,9.242816,1.1701661
53,1437143341041,-2.280477,9.276335,1.1306617
54,1437143341062,-2.368464,9.366715,1.1528081
55,1437143341084,-2.3900118,9.372103,1.1653777
56,1437143341102,-2.4361002,9.291298,1.2599486
57,1437143341121,-2.3529017,9.223063,1.1216835
58,1437143341141,-2.2140381,9.263765,1.1755531
59,1437143341161,-2.235586,9.25359,1.1659763
60,1437143341183,-2.384625,9.381081,1.2695254
61,1437143341203,-2.3361423,9.385271,1.1073183
62,1437143341223,-2.3241713,9.259575,1.1007342
63,1437143341243,-2.3959973,9.237429,1.2378023
64,1437143341262,-2.3894134,9.385271,1.2575544
65,1437143341284,-2.3642743,9.427768,1.2180501
66,1437143341302,-2.3558946,9.307459,1.2605472
67,1437143341321,-2.3421278,9.238028,1.1917139
68,1437143341341,-2.296638,9.2308445,1.1767502
69,1437143341361,-2.3660698,9.292496,1.2174516
70,1437143341395,-2.3247697,9.361329,1.204882
71,1437143341400,-2.3582888,9.347562,1.2671312
72,1437143341421,-2.2936451,9.293693,1.1384429
73,1437143341440,-2.220622,9.247005,1.1839328
74,1437143341460,-2.2583308,9.27394,1.1881226
75,1437143341480,-2.304419,9.376292,1.2030864
76,1437143341500,-2.3612814,9.358934,1.216853
77,1437143341520,-2.3876176,9.338584,1.2246342
78,1437143341560,-2.3463178,9.353547,1.2389994
79,1437143341561,-2.3247697,9.379884,1.2473791
80,1437143341580,-2.3122003,9.367314,1.2060791
81,1437143341600,-2.3014264,9.36073,1.2018893
82,1437143341623,-2.2864625,9.300875,1.1701661
83,1437143341642,-2.2439656,9.198523,1.1408371
84,1437143341660,-2.2296004,9.199121,1.1976994
85,1437143341681,-2.2732944,9.239823,1.2593501
86,1437143341704,-2.2637177,9.313444,1.2533646
87,1437143341721,-2.303222,9.386468,1.2629414
88,1437143341741,-2.3421278,9.414599,1.2677298
89,1437143341761,-2.4181437,9.385271,1.2982559
90,1437143341780,-2.569577,9.292496,1.3305776
91,1437143341805,-2.5767596,9.22067,1.1791444
92,1437143341826,-2.468422,9.196129,1.2892777
93,1437143341842,-2.457648,9.087193,1.282095
94,1437143341860,-2.4624364,9.178172,1.3503298
95,1437143341883,-2.3780408,9.311649,1.2629414
96,1437143341904,-2.244564,9.326612,1.2623428
97,1437143341923,-2.3546975,9.303269,1.4706384
98,1437143341943,-2.460641,9.379884,1.5705963
99,1437143341965,-2.461838,9.417592,1.4460979
100,1437143341985,-2.4720132,9.287707,1.4610616
101,1437143342004,-2.4432828,9.135675,1.3748703
102,1437143342022,-2.4007857,9.100361,1.3425486
103,1437143342044,-2.397793,9.159617,1.3772645
104,1437143342061,-2.3648727,9.227253,1.352724
105,1437143342085,-2.3995886,9.276933,1.4682442
106,1437143342107,-2.3864205,9.27394,1.3365631
107,1437143342122,-2.3612814,9.148843,1.3688848
108,1437143342145,-2.4672248,9.184756,1.4305356
109,1437143342163,-2.4791958,9.281721,1.4520833
110,1437143342181,-2.5049336,9.285313,1.4574703
111,1437143342201,-2.4821887,9.205706,1.4957775
112,1437143342221,-2.4468741,9.185953,1.4760253
113,1437143342241,-2.4331074,9.2787285,1.4850036
114,1437143342292,-2.4690206,9.325416,1.4802152
115,1437143342293,-2.521693,9.279925,1.4616601
116,1437143342313,-2.4917655,9.183559,1.453879
117,1437143342322,-2.4791958,9.128492,1.4490906
118,1437143342345,-2.4636335,9.19134,1.4000094
119,1437143342361,-2.4600422,9.276335,1.4395138
120,1437143342382,-2.4408886,9.242217,1.453879
121,1437143342401,-2.3828292,9.144653,1.4754268
122,1437143342426,-2.355296,9.156625,1.4580688
123,1437143342443,-2.3870192,9.215881,1.4562732
124,1437143342462,-2.4289176,9.341577,1.4454993
125,1437143342482,-2.36188,9.418191,1.2850877
126,1437143342502,-2.3660698,9.272743,1.5406688
127,1437143342523,-2.4001873,9.1255,1.5514427
128,1437143342545,-2.2667105,9.270349,1.3467385
129,1437143342564,-2.332551,9.321226,1.2665327
130,1437143342584,-2.3253684,9.251794,1.3389573
131,1437143342605,-2.4157495,9.210494,1.525705
132,1437143342624,-2.3211784,9.309854,1.5053543
133,1437143342645,-2.2798786,9.305065,1.4263457
134,1437143342663,-2.3122003,9.277532,1.4413095
135,1437143342684,-2.3068132,9.317036,1.4203602
136,1437143342704,-2.3139958,9.303269,1.4359225
137,1437143342721,-2.3122003,9.194932,1.4377182
138,1437143342742,-2.2655134,9.190144,1.3652935
139,1437143342762,-2.2709002,9.34038,1.3401544
140,1437143342783,-2.2547395,9.304466,1.3826514
141,1437143342805,-2.2571337,9.207501,1.4508862
142,1437143342828,-2.332551,9.28232,1.4808137
143,1437143342849,-2.3319526,9.305065,1.4431051
144,1437143342870,-2.3959973,9.301474,1.4915876
145,1437143342883,-2.379238,9.281123,1.471237
146,1437143342902,-2.327164,9.249998,1.4556746
147,1437143342925,-2.3092074,9.216479,1.400608
148,1437143343017,-2.2774844,9.273342,1.388637
149,1437143343018,-2.297835,9.336189,1.3928268
150,1437143343019,-2.3648727,9.307459,1.4083891
151,1437143343020,-2.3636756,9.216479,1.4754268
152,1437143343028,-2.304419,9.184756,1.4293385
153,1437143343043,-2.3211784,9.243414,1.4041992
154,1437143343067,-2.3421278,9.34038,1.4119805
155,1437143343082,-2.3774424,9.354146,1.4526819
156,1437143343103,-2.3786395,9.285912,1.4443022
157,1437143343124,-2.4091654,9.19553,1.447295
158,1437143343142,-2.397793,9.208698,1.3754689
159,1437143343163,-2.3157916,9.3260145,1.3491327
160,1437143343183,-2.2906525,9.2625675,1.4119805
161,1437143343207,-2.4181437,9.226655,1.614889
162,1437143343225,-2.3361423,9.267955,1.4000094
163,1437143343244,-2.2828712,9.272144,1.2773066
164,1437143343263,-2.360683,9.210494,1.3850456
165,1437143343282,-2.4756045,9.300277,1.4927847
166,1437143343304,-2.4468741,9.361329,1.4736311
167,1437143343324,-2.4744074,9.272144,1.4478935
168,1437143343345,-2.44448,9.231443,1.4065934
169,1437143343365,-2.4127567,9.270947,1.3880384
170,1437143343386,-2.4271219,9.300875,1.4263457
171,1437143343406,-2.4349031,9.254189,1.407192
172,1437143343424,-2.44029,9.148245,1.417966
173,1437143343445,-2.3762453,9.216479,1.3365631
174,1437143343463,-2.3756466,9.257779,1.4209588
175,1437143343483,-2.4001873,9.215282,1.5047557
176,1437143343505,-2.4833858,9.1829605,1.501763
177,1437143343577,-2.5031378,9.102157,1.4490906
178,1437143343578,-2.4911668,9.223063,1.4293385
179,1437143343579,-2.48159,9.355343,1.4036007
180,1437143343583,-2.505532,9.367314,1.5161282
181,1437143343602,-2.5354595,9.248801,1.5574282
182,1437143343628,-2.558803,9.029732,1.4466964
183,1437143343642,-2.456451,9.063849,1.283292
184,1437143343674,-2.308609,9.446322,1.316811
185,1437143343717,-2.417545,9.465476,1.5376761
186,1437143343718,-2.4893713,9.427169,1.6639702
187,1437143343746,-2.4779987,9.260772,1.6017209
188,1437143343747,-2.3989902,9.102755,1.447295
189,1437143343767,-2.3104045,9.095572,1.3623008
190,1437143343812,-2.315193,9.184756,1.4287399
191,1437143343813,-2.3768437,9.280524,1.5376761
192,1437143343840,-2.3822308,9.317635,1.5316905
193,1437143343854,-2.4690206,9.324219,1.5634137
194,1437143343868,-2.4480712,9.185953,1.4275428
195,1437143343883,-2.3822308,9.128492,1.6214731
196,1437143343913,-2.349909,9.133281,1.6400281
197,1437143343961,-2.3481133,9.178172,1.5023615
198,1437143343962,-2.4193408,9.208698,1.2575544
199,1437143343963,-2.4809916,9.129091,1.2844892
200,1437143343988,-2.5300727,9.217676,1.4347254
201,1437143344007,-2.4959552,9.391256,1.4820108
202,1437143344022,-2.4917655,9.360131,1.5640123
203,1437143344043,-2.558803,9.205706,1.620276
204,1437143344063,-2.4959552,9.11712,1.5705963
205,1437143344083,-2.5270798,9.1590185,1.496376
206,1437143344103,-2.5492263,9.288904,1.3928268
207,1437143344123,-2.5234885,9.328408,1.5113398
208,1437143344143,-2.5169046,9.248202,1.620276
209,1437143344163,-2.533664,9.129091,1.6418238
210,1437143344183,-2.4552538,9.137471,1.584363
211,1437143344202,-2.4510639,9.205107,1.501763
212,1437143344227,-2.4797945,9.149442,1.4879963
213,1437143344242,-2.5899277,9.122507,1.5358804
214,1437143344265,-2.5965118,9.230247,1.5101427
215,1437143344282,-2.5408466,9.25359,1.5388732
216,1437143344302,-2.4929626,9.223063,1.6196774
217,1437143344322,-2.4809916,9.231443,1.6304513
218,1437143344342,-2.4791958,9.260174,1.6274586
219,1437143344362,-2.5001452,9.26197,1.6118963
220,1437143344382,-2.4929626,9.212888,1.6041151
221,1437143344402,-2.492364,9.156625,1.5879543
222,1437143344422,-2.460641,9.107543,1.5969325
223,1437143344442,-2.5169046,9.117719,1.6136919
224,1437143344462,-2.5103204,9.15842,1.5981296
225,1437143344489,-2.4648306,9.1512375,1.6101006
226,1437143344503,-2.4522612,9.186552,1.5394717
227,1437143344522,-2.52289,9.22067,1.5867572
228,1437143344542,-2.5462334,9.242816,1.6603789
229,1437143344562,-2.5510218,9.21229,1.6214731
230,1437143344582,-2.5803509,9.183559,1.6711528
231,1437143344602,-2.4492683,9.126099,1.5376761
232,1437143344625,-2.3535004,9.037513,1.7232267
233,1437143344648,-2.3678656,8.947132,1.6561891
234,1437143344668,-2.4103625,9.103952,1.6915035
235,1437143344683,-2.4756045,9.302073,1.5161282
236,1437143344704,-2.5210943,9.332599,1.5071499
237,1437143344724,-2.4899697,9.23264,1.678934
238,1437143344743,-2.5689783,9.267356,1.7441759
239,1437143344765,-2.544438,9.258977,1.6017209
240,1437143344784,-2.5713725,9.0842,1.5987282
241,1437143344805,-2.4091654,8.961497,1.555034
242,1437143344848,-2.3810337,9.057265,1.6400281
243,1437143344849,-2.3876176,9.153033,1.6448165
244,1437143344867,-2.4001873,9.19553,1.6226702
245,1437143344884,-2.4426842,9.190144,1.7286136
246,1437143344906,-2.4091654,9.229648,1.7184383
247,1437143344925,-2.3451207,9.248801,1.697489
