id,attr_time,attr_x,attr_y,attr_z
1,1437143340016,-9.093178,3.341707,0.2896984
2,1437143340036,-9.10455,3.3411086,0.2693477
3,1437143340058,-9.020754,3.3482912,0.26515785
4,1437143340107,-9.0794115,3.3638535,0.2160767
5,1437143340108,-9.184756,3.3369186,0.2705448
6,1437143340127,-9.1829605,3.366846,0.26874915
7,1437143340134,-9.162011,3.353678,0.25498247
8,1437143340158,-9.202713,3.3913867,0.31483752
9,1437143340175,-9.162011,3.3758245,0.2753332
10,1437143340195,-9.035717,3.371036,0.27952304
11,1437143340218,-8.980651,3.3500867,0.30107087
12,1437143340235,-9.02614,3.359065,0.30945057
13,1437143340256,-9.113529,3.3620577,0.3226187
14,1437143340276,-9.132084,3.359065,0.32920274
15,1437143340297,-9.122507,3.3399115,0.3405752
16,1437143340315,-9.087791,3.288436,0.3405752
17,1437143340339,-9.086594,3.2872388,0.32920274
18,1437143340358,-9.097966,3.304597,0.31064767
19,1437143340378,-9.177573,3.333926,0.31304187
20,1437143340397,-9.192537,3.3482912,0.33279404
21,1437143340418,-9.091382,3.2956185,0.36990416
22,1437143340439,-9.036316,3.2860417,0.33638534
23,1437143340458,-9.042301,3.2824504,0.33399114
24,1437143340478,-9.133281,3.328539,0.31124622
25,1437143340496,-9.242816,3.3722332,0.3298013
26,1437143340516,-9.208698,3.3363202,0.30406362
27,1437143340538,-9.199121,3.3728316,0.3333926
28,1437143340557,-9.069835,3.3482912,0.29448682
29,1437143340579,-9.0315275,3.3393128,0.30526072
30,1437143340596,-9.13388,3.3518825,0.32321724
31,1437143340616,-9.114726,3.3423057,0.2825158
32,1437143340639,-8.993818,3.3399115,0.26156655
33,1437143340658,-9.066243,3.347094,0.22026655
34,1437143340678,-9.181165,3.3620577,0.20410569
35,1437143340697,-9.236232,3.352481,0.22505496
36,1437143340716,-9.113529,3.265691,0.25498247
37,1437143340735,-9.087791,3.192668,0.30166942
38,1437143340758,-9.184157,3.1824925,0.34596214
39,1437143340779,-9.213487,3.1860838,0.38307226
40,1437143340828,-9.227253,3.2190042,0.3842694
41,1437143340829,-9.235035,3.2746694,0.3597288
42,1437143340836,-9.202114,3.3399115,0.2896984
43,1437143340855,-9.128492,3.3824084,0.25438392
44,1437143340879,-9.085996,3.4051533,0.25617957
45,1437143340899,-9.085397,3.4398694,0.2777274
46,1437143340915,-9.000402,3.457826,0.24600422
