id,attr_time,attr_x,attr_y,attr_z
1,1437143340293,2.054225,9.933543,-0.15143326
2,1437143340294,2.005144,9.956886,-0.1328782
3,1437143340295,1.9818004,10.010158,-0.107140526
4,1437143340296,1.9997569,10.011354,-0.10115502
5,1437143340297,2.018312,9.985617,-0.15741876
6,1437143340298,2.0691888,9.977836,-0.14784196
7,1437143340299,2.1122844,9.949704,-0.1340753
8,1437143340300,2.0207062,9.962872,-0.12030864
9,1437143340301,2.0093338,10.001778,-0.1412579
10,1437143340302,2.0685902,9.998785,-0.12808979
11,1437143340303,2.179322,9.973047,-0.1340753
12,1437143340304,2.0506337,9.958083,-0.14784196
13,1437143340305,1.9069817,9.982624,-0.16160862
14,1437143340306,2.0410569,9.998186,-0.093373865
15,1437143340307,2.1679497,9.985018,-0.089184016
16,1437143340308,2.123657,9.939528,-0.11671733
17,1437143340330,2.1110873,9.973047,-0.17178397
18,1437143340341,1.9315223,9.961675,-0.14544775
19,1437143340361,2.0332758,9.989208,-0.09876082
20,1437143340381,2.167351,9.986216,-0.0700304
21,1437143340415,2.1894975,9.960478,-0.110133275
22,1437143340421,2.1589713,9.950302,-0.18614918
23,1437143340441,2.0763714,9.94312,-0.17956513
24,1437143340461,1.9512744,10.020332,-0.0664391
25,1437143340481,2.0919337,10.029909,-0.088585466
26,1437143340501,2.2092497,9.941922,-0.11372458
27,1437143340521,2.2272062,9.923966,-0.13826515
28,1437143340541,2.011728,9.950901,-0.13587095
29,1437143340561,1.9626468,10.009559,-0.108337626
30,1437143340581,2.100912,10.01315,-0.09756372
31,1437143340601,2.220622,9.9712515,-0.06584055
32,1437143340621,2.1637597,9.940725,-0.09995792
33,1437143340641,2.154183,9.900622,-0.108337626
34,1437143340665,2.0829554,9.982624,-0.0664391
35,1437143340681,2.0039468,10.028113,-0.0664391
36,1437143340701,2.1499932,9.973047,-0.0700304
37,1437143340721,2.1978772,9.948506,-0.10175357
38,1437143340741,2.135628,9.94312,-0.14664486
39,1437143340761,2.0153193,9.969456,-0.08439561
40,1437143340781,2.0308816,9.977237,-0.023343466
41,1437143340801,2.154183,9.981427,-0.048482586
42,1437143340821,2.1823149,9.946711,-0.11911154
43,1437143340846,2.1134815,9.933543,-0.12868834
44,1437143340860,2.0374656,9.9473095,-0.10235212
45,1437143340880,2.1535845,9.966463,-0.05267244
46,1437143340901,2.124854,9.985617,-0.0676362
47,1437143340923,2.1428106,9.960478,-0.049081136
48,1437143340940,2.1086931,9.977237,-0.1352724
49,1437143340960,2.178125,9.928156,-0.1388637
50,1437143340980,2.1350293,9.910199,-0.08319851
51,1437143341003,2.0709844,9.952098,-0.044292733
52,1437143341024,2.0368671,9.968858,-0.06344634
53,1437143341041,2.0368671,9.98442,-0.107739076
54,1437143341061,2.2930467,9.9951935,-0.089184016
55,1437143341086,2.224812,9.955689,-0.10594343
56,1437143341104,2.119467,9.946711,-0.10414778
57,1437143341122,2.1589713,9.955689,-0.12569559
58,1437143341144,2.1338322,9.950302,-0.06584055
59,1437143341160,2.1571758,9.981427,-0.049081136
60,1437143341180,2.2008698,9.941324,-0.08499416
61,1437143341205,2.2511482,9.8994255,-0.08439561
62,1437143341225,2.100912,9.9473095,-0.11492168
63,1437143341245,2.0338743,10.019135,-0.11552023
64,1437143341265,2.0733786,10.017939,-0.10474633
65,1437143341282,2.2637177,9.978435,-0.023942016
66,1437143341305,2.2918496,9.926959,-0.08439561
67,1437143341325,2.3277626,9.877877,-0.10654198
68,1437143341343,2.1984756,9.910798,-0.093373865
69,1437143341363,2.1410148,9.989806,-0.038905777
70,1437143341383,2.1428106,9.986814,-0.022744916
71,1437143341404,2.2290018,9.950901,-0.0712275
72,1437143341424,2.2571337,9.941922,-0.11192893
73,1437143341444,2.1481974,9.931149,-0.074818805
74,1437143341464,2.1386206,9.952098,-0.049081136
75,1437143341485,2.2140381,9.990405,-0.025737667
76,1437143341503,2.2571337,9.941922,-0.093373865
77,1437143341523,2.1918917,9.909601,-0.11372458
78,1437143341543,2.2224178,9.904214,-0.089184016
79,1437143341565,2.1535845,9.952098,-0.02813187
80,1437143341591,2.1990743,10.003573,-0.04369418
81,1437143341609,2.248754,9.983223,-0.08200141
82,1437143341623,2.224812,9.907805,-0.11492168
83,1437143341643,2.1763294,9.916783,-0.06464344
84,1437143341661,2.0871453,9.974244,-0.008379706
85,1437143341681,2.135628,10.030508,-0.008978256
86,1437143341706,2.2517467,9.980828,-0.0688333
87,1437143341723,2.2655134,9.909601,-0.08678981
88,1437143341742,2.1775265,9.929952,-0.05686229
89,1437143341764,2.0883424,10.001179,-0.019752163
90,1437143341785,2.1374235,10.012551,-0.017357962
91,1437143341801,2.2691047,9.970653,-0.065242
92,1437143341825,2.2212207,9.922171,-0.076614454
93,1437143341845,2.1092918,9.910798,-0.051475335
94,1437143341865,2.1266496,9.989806,-0.023942016
95,1437143341883,2.2391772,9.978435,-0.005985504
96,1437143341904,2.3403323,9.908403,-0.05566519
97,1437143341925,2.2942438,9.896433,-0.11312603
98,1437143341943,2.0410569,9.907207,-0.090381116
99,1437143341963,2.0416555,10.000581,0.0005985504
100,1437143341983,2.2697031,9.996989,-0.022744916
101,1437143342005,2.3900118,9.928156,-0.048482586
102,1437143342023,2.2361844,9.895236,-0.12270284
103,1437143342043,2.0841527,9.922769,-0.032920275
104,1437143342064,2.0937295,10.006566,-0.03172317
105,1437143342083,2.236783,9.989806,-0.04249708
106,1437143342110,2.244564,9.948506,-0.090979666
107,1437143342128,2.2601264,9.888652,-0.10654198
108,1437143342145,2.207454,9.952098,-0.078410104
109,1437143342162,2.1787236,9.983821,0.002992752
110,1437143342183,2.2188265,9.965266,-0.03232172
111,1437143342204,2.2655134,9.921572,-0.08140286
112,1437143342225,2.27928,9.8677025,-0.107140526
113,1437143342295,2.2068555,9.928156,-0.05626374
114,1437143342296,2.0326772,10.016143,-0.01616086
115,1437143342308,2.1015105,10.067019,-0.0053869537
116,1437143342309,2.2906525,9.964667,-0.089184016
117,1437143342323,2.2541409,9.89344,-0.11671733
118,1437143342354,2.148796,9.896433,-0.08439561
119,1437143342380,2.1146786,9.974244,-0.036511578
120,1437143342383,2.2068555,9.982624,-0.020350715
121,1437143342405,2.3403323,9.964667,-0.107739076
122,1437143342424,2.1613655,9.887454,-0.065242
123,1437143342447,2.0667946,9.913791,-0.06404489
124,1437143342463,2.190096,9.9790325,0.011971008
125,1437143342486,2.2158337,9.998186,-0.012569559
126,1437143342503,2.160767,9.9712515,-0.08619126
127,1437143342526,2.1290438,9.914988,-0.08319851
128,1437143342546,2.1877017,9.922769,-0.01616086
129,1437143342566,2.1853075,9.974244,-0.010175358
130,1437143342586,2.0123265,9.994595,-0.038307227
131,1437143342606,2.1829133,9.989806,-0.061052144
132,1437143342626,2.2613235,9.925163,-0.04369418
133,1437143342646,2.1158757,9.937733,-0.02633622
134,1437143342667,2.0207062,10.004171,-0.021547815
135,1437143342684,2.0440497,10.0029745,0.0047884034
136,1437143342706,2.1697452,9.945514,0.008978256
137,1437143342724,2.2134395,9.931149,-0.024540568
138,1437143342743,2.0602105,9.919178,-0.061052144
139,1437143342763,1.9201498,9.950302,-0.025139118
140,1437143342788,2.006341,10.0029745,-0.034117375
141,1437143342809,2.078167,10.013748,-0.010175358
142,1437143342829,2.034473,9.992201,-0.027533319
143,1437143342846,2.0644004,9.906608,-0.05805939
144,1437143342864,2.0620062,9.927557,-0.060453594
145,1437143342884,1.8914193,10.047267,-0.073023155
146,1437143342906,1.9488802,10.07121,-0.062249243
147,1437143342925,2.070386,9.975441,-0.011971008
148,1437143343013,2.098518,9.952098,0.04369418
149,1437143343014,1.9794062,9.884461,-0.006584055
150,1437143343015,1.9117701,10.014347,-0.12330139
151,1437143343016,1.9057846,10.1304655,-0.11192893
152,1437143343024,1.9680338,10.027515,0.0023942017
153,1437143343049,2.019509,9.983821,0.037110128
154,1437143343071,1.9602526,9.936536,0.012569559
155,1437143343086,1.9015948,9.962274,-0.093373865
156,1437143343145,1.887828,9.990405,-0.050278235
157,1437143343146,1.8124107,10.014347,-0.0017956513
158,1437143343147,1.733402,10.059238,0.050876785
159,1437143343166,1.9381063,10.01734,0.05327099
160,1437143343185,1.9710265,9.989806,-0.037110128
161,1437143343204,1.9416976,9.965266,-0.025139118
162,1437143343226,1.8136078,9.921572,-0.033518825
163,1437143343246,1.6807296,9.959281,0.037708677
164,1437143343266,1.7298107,10.080787,0.02813187
165,1437143343287,1.8782512,10.081385,0.039504327
166,1437143343306,1.9087774,10.028712,0.032920275
167,1437143343326,1.8046296,10.032304,-0.08319851
168,1437143343346,1.7711107,10.003573,-0.12449849
169,1437143343367,1.7902644,9.979631,0.046686932
170,1437143343387,1.6035166,10.0508585,0.075417355
171,1437143343409,1.6466122,10.190321,0.009576807
172,1437143343426,1.858499,10.043077,0.0035913025
173,1437143343447,1.9255368,10.049662,-0.077811554
174,1437143343466,1.8100165,9.995792,-0.08619126
175,1437143343486,1.666963,9.974244,-0.047884032
176,1437143343505,1.673547,10.02572,0.020949265
177,1437143343528,1.6938977,10.008362,0.09756372
178,1437143343548,1.79206,10.09575,-0.022744916
179,1437143343568,1.7190368,10.10413,-0.011372458
180,1437143343587,1.7136499,9.995792,-0.046088383
181,1437143343604,1.7914615,9.964069,-0.008978256
182,1437143343624,1.8100165,10.018537,-0.033518825
183,1437143343646,1.6950948,10.032902,-0.047884032
184,1437143343664,1.5376761,10.04607,-0.05327099
185,1437143343749,1.7687165,10.070012,-0.031124622
186,1437143343750,1.7034745,10.083779,0.055066638
187,1437143343751,1.4670471,10.041282,0.008978256
188,1437143343752,1.578976,10.011953,0.05925649
189,1437143343766,1.7962499,10.03769,0.12629414
190,1437143343787,1.620276,10.000581,0.07182605
191,1437143343806,1.3245921,10.056246,0.17477672
192,1437143343825,1.3102269,10.192716,0.11731588
193,1437143343848,1.7860745,10.136452,0.16340427
194,1437143343864,1.8130093,10.045472,0.17836803
195,1437143343887,1.6304513,10.065224,0.08140286
196,1437143343910,1.5568297,10.022128,0.14664486
197,1437143343926,1.4718355,10.03769,0.19393034
198,1437143343946,1.4682442,10.003573,0.16280572
199,1437143343965,1.4562732,9.977836,0.23403321
200,1437143343987,1.1300632,10.069414,0.30346507
201,1437143344007,1.270124,10.291476,0.28072014
202,1437143344030,1.6603789,10.0664215,0.39145198
203,1437143344087,1.6244658,10.087969,0.27353755
204,1437143344088,1.5544355,10.125677,0.2801216
205,1437143344089,1.4634558,10.074203,0.28670564
206,1437143344105,1.3976152,10.070611,0.39085343
207,1437143344129,1.359308,10.076596,0.374094
208,1437143344147,1.359308,10.010756,0.45310268
209,1437143344167,1.3036429,10.011953,0.43394905
210,1437143344186,1.1162965,10.09575,0.5069722
211,1437143344206,1.1707647,10.0987425,0.5141548
212,1437143344226,1.3102269,10.131663,0.55485624
213,1437143344247,1.3754689,10.06283,0.492607
214,1437143344268,1.3676877,10.038888,0.5650316
215,1437143344288,1.2473791,10.070012,0.63087213
216,1437143344308,1.1893197,10.061034,0.74758947
217,1437143344393,1.1390414,10.089765,0.7206547
218,1437143344394,1.1941081,10.09994,0.7086837
219,1437143344445,1.3012487,10.095152,0.7356185
220,1437143344446,1.3742718,10.114903,0.7990648
221,1437143344447,1.2210429,10.087969,0.8182184
222,1437143344451,1.0785879,10.084976,0.87208796
223,1437143344465,1.1001357,10.055049,0.93014735
224,1437143344466,1.0899603,10.011354,0.97025025
225,1437143344485,1.0432734,9.993997,1.0169371
226,1437143344505,1.0366893,10.003573,1.0851719
227,1437143344525,1.1168951,10.101735,1.1007342
228,1437143344544,1.073201,10.05864,1.0049661
229,1437143344568,0.8559271,10.159196,0.85891986
230,1437143344586,0.7026982,10.108319,0.83378077
231,1437143344607,0.96546185,9.997588,1.0073603
232,1437143344626,1.1348516,9.981427,1.1258733
233,1437143344646,0.85891986,9.986216,1.1240777
234,1437143344668,0.55605334,9.962872,1.0803835
235,1437143344688,0.7134721,9.999383,1.0869676
236,1437143344708,0.7428011,10.013748,1.0941502
237,1437143344728,0.641646,10.013748,0.99538934
238,1437143344748,0.6751649,10.001778,0.98461545
239,1437143344768,0.8098387,10.031705,1.0582372
240,1437143344788,0.84455466,9.980229,1.0402806
241,1437143344808,0.7314286,10.014946,1.0923545
242,1437143344828,0.676362,10.073005,1.0001777
243,1437143344851,0.7954735,10.015544,0.96785605
244,1437143344868,0.770933,10.062231,1.0193313
245,1437143344888,0.62967503,10.034698,1.0791864
246,1437143344905,0.6721721,10.028113,1.0702082
247,1437143344927,1.0295067,10.0987425,1.0354922
248,1437143344947,0.80924016,10.038289,0.98820674
249,1437143344968,0.6745663,10.040085,0.8655039
250,1437143344988,0.7529764,10.073604,0.842759
251,1437143345009,0.6781576,10.043077,0.8912416
252,1437143345026,0.7625532,10.035296,0.8242039
253,1437143345048,0.777517,10.040684,0.8062474
254,1437143345066,0.7422025,10.056845,0.7326257
255,1437143345090,0.8439561,10.10413,0.6452374
256,1437143345116,0.74878657,10.109517,0.688333
257,1437143345175,0.700304,10.065224,0.6895301
258,1437143345176,0.878672,10.047267,0.6847417
259,1437143345177,0.84814596,10.078991,0.65301853
260,1437143345188,0.7649474,10.073604,0.5554548
261,1437143345206,0.7978677,10.068216,0.4914099
262,1437143345225,0.8038532,10.096349,0.50278234
263,1437143345245,0.94331545,10.089765,0.5710171
264,1437143345276,1.0073603,10.070012,0.52971715
265,1437143345285,1.0821792,10.065224,0.50517654
266,1437143345306,1.062427,10.134057,0.40102878
267,1437143345331,1.1240777,10.10413,0.3764882
268,1437143345347,0.9576807,10.003573,0.30466217
269,1437143345368,0.8702923,10.077195,0.20829555
270,1437143345386,1.122282,10.119692,0.091578215
271,1437143345409,1.1569979,10.086173,0.1412579
272,1437143345428,1.0540473,10.15381,-0.0011971008
273,1437143345449,1.2366052,10.172364,0.049081136
274,1437143345469,1.3724761,10.096349,0.065242
275,1437143345489,1.3742718,10.085575,-0.076614454
276,1437143345509,1.3359646,10.103531,-0.15622166
277,1437143345528,1.3491327,10.064027,-0.2124854
278,1437143345548,1.3461399,10.084377,-0.29628247
279,1437143345567,1.2491747,10.096947,-0.3369839
280,1437143345587,1.3275849,10.0987425,-0.3429694
281,1437143345609,1.4425066,10.092158,-0.36272156
282,1437143345627,1.3640964,10.033501,-0.40282443
283,1437143345648,1.3976152,10.09575,-0.47345337
284,1437143345669,1.3443443,10.1143055,-0.59855044
285,1437143345688,1.2306197,10.135853,-0.5602432
286,1437143345708,1.3395559,10.111312,-0.7086837
287,1437143345730,1.4275428,10.056246,-0.62129533
288,1437143345756,1.3084313,10.0664215,-0.6428431
289,1437143345766,1.4862007,10.098145,-0.7224504
290,1437143345786,1.4622587,10.12448,-0.6476316
291,1437143345808,1.3347675,10.148422,-0.866701
292,1437143345827,1.4167689,10.1460285,-0.7745243
293,1437143345989,1.7154455,10.053851,-0.66738373
