id,attr_time,attr_x,attr_y,attr_z
1,1436283202517,2.1990743,9.589376,-1.1569979
2,1436283202590,2.1057005,9.633071,-1.1456255
3,1436283202591,2.1278467,9.5971575,-1.1294646
4,1436283202592,2.295441,9.746795,-1.1803415
5,1436283202593,2.2361844,9.619903,-1.1294646
6,1436283202610,2.3068132,9.677363,-1.0540473
7,1436283202635,2.1972785,9.66659,-1.0905589
8,1436283202648,2.1853075,9.56723,-1.0175357
9,1436283202668,2.2481554,9.576807,-1.0576386
10,1436283202699,2.1697452,9.57142,-1.0289081
11,1436283202709,2.2637177,9.633669,-1.1168951
12,1436283202729,2.2415714,9.66659,-1.0755951
13,1436283202749,2.3223755,9.755774,-1.0696096
14,1436283202771,2.2319946,9.630077,-1.074398
15,1436283202790,2.1086931,9.518148,-1.039682
16,1436283202811,2.1027076,9.555259,-1.1025299
17,1436283202831,1.988983,9.580399,-1.1127052
18,1436283202849,1.9536686,9.534309,-1.1498153
19,1436283202871,1.9422961,9.53012,-1.1049241
20,1436283202890,1.9405005,9.609727,-1.1737574
21,1436283202909,1.9476831,9.484032,-1.1085154
22,1436283202932,2.0380642,9.463681,-1.062427
23,1436283202949,2.1481974,9.549872,-1.0684125
24,1436283202970,2.1871033,9.628283,-1.1055226
25,1436283202991,2.1841104,9.633669,-1.115698
26,1436283203012,2.2631192,9.643246,-1.1001357
27,1436283203029,2.2559366,9.552865,-1.0648212
28,1436283203052,2.3241713,9.615114,-1.0540473
29,1436283203072,2.272696,9.703699,-1.1294646
30,1436283203093,2.2409728,9.637859,-1.1216835
31,1436283203141,2.232593,9.581595,-1.1498153
32,1436283203142,2.243367,9.551069,-1.1330559
33,1436283203195,2.2691047,9.602545,-1.1300632
34,1436283203199,2.3014264,9.624092,-1.1372458
35,1436283203200,2.2984335,9.5732155,-1.1336545
36,1436283203209,2.2768857,9.578004,-1.1653777
37,1436283203491,2.2744915,9.518148,-1.1426327
38,1436283203492,2.2732944,9.526528,-1.1414356
39,1436283203493,2.3259668,9.553463,-1.1264719
40,1436283203494,2.3481133,9.6049385,-1.158195
41,1436283203495,2.404377,9.635465,-1.1773487
42,1436283203496,2.4516625,9.618706,-1.1821371
43,1436283203497,2.4486697,9.570223,-1.1815386
44,1436283203498,2.432509,9.606135,-1.2054806
45,1436283203499,2.3307555,9.591172,-1.186327
46,1436283203500,2.3229742,9.56304,-1.1905168
47,1436283203501,2.2972364,9.543288,-1.2264298
48,1436283203502,2.3415294,9.531916,-1.2036849
49,1436283203503,2.3002293,9.575011,-1.2372037
50,1436283203504,2.3349452,9.586982,-1.2156559
51,1436283203510,2.3714569,9.539098,-1.210269
52,1436283203529,2.4127567,9.512762,-1.1899183
53,1436283203549,2.4025815,9.5798,-1.2258313
54,1436283203570,2.3762453,9.536704,-1.234211
55,1436283203590,2.3463178,9.569026,-1.258153
56,1436283203611,2.3241713,9.587581,-1.2958617
57,1436283203628,2.3786395,9.554661,-1.2695254
58,1436283203649,2.303222,9.615712,-1.3054385
59,1436283203672,2.284667,9.589376,-1.2958617
60,1436283203690,2.2888567,9.543886,-1.2569559
61,1436283203710,2.3211784,9.566631,-1.2665327
62,1436283203730,2.3535004,9.601946,-1.2665327
63,1436283203751,2.3558946,9.606135,-1.2761095
64,1436283203768,2.3421278,9.591172,-1.264737
65,1436283203791,2.303222,9.583989,-1.2761095
66,1436283203812,2.2703018,9.563639,-1.2401965
67,1436283203832,2.2613235,9.553463,-1.2437878
68,1436283203850,2.2732944,9.548675,-1.2318168
69,1436283203872,2.231396,9.551667,-1.1935096
70,1436283203892,2.2296004,9.534309,-1.2126632
71,1436283203910,2.2535424,9.5492735,-1.2378023
72,1436283203929,2.3451207,9.554661,-1.2114661
73,1436283203949,2.3439236,9.639654,-1.2605472
74,1436283204010,2.296638,9.667188,-1.282095
75,1436283204011,2.256535,9.598953,-1.2455834
76,1436283204012,2.2373815,9.554661,-1.2473791
77,1436283204028,2.2002714,9.56304,-1.2575544
78,1436283204048,2.190096,9.554661,-1.2491747
79,1436283204070,2.1392193,9.58818,-1.2078748
80,1436283204088,2.107496,9.494206,-1.1755531
81,1436283204108,2.130241,9.400833,-1.1791444
82,1436283204128,2.1529858,9.454104,-1.2378023
83,1436283204149,2.220622,9.496601,-1.2677298
84,1436283204168,2.3241713,9.627684,-1.2539631
85,1436283204188,2.2870612,9.6288805,-1.270124
86,1436283204208,2.3157916,9.633071,-1.2671312
87,1436283204228,2.319383,9.598953,-1.2958617
88,1436283204248,2.3355439,9.657611,-1.2797008
89,1436283204268,2.3463178,9.577405,-1.2306197
90,1436283204288,2.3774424,9.570822,-1.2671312
91,1436283204308,2.3349452,9.60853,-1.2689269
92,1436283204328,2.397793,9.631275,-1.2677298
93,1436283204348,2.3828292,9.60853,-1.2162545
94,1436283204368,2.445677,9.671976,-1.1839328
95,1436283204388,2.3798366,9.735423,-1.1887212
96,1436283204412,2.4516625,9.709685,-1.234211
97,1436283204433,2.409764,9.589975,-1.1833342
98,1436283204450,2.3989902,9.539697,-1.1330559
99,1436283204473,2.1613655,9.648633,-1.1438298
100,1436283204489,2.1996727,9.713276,-1.1623849
101,1436283204510,2.184709,9.485827,-1.1204864
102,1436283204531,2.235586,9.396045,-1.0510546
103,1436283204551,1.9626468,9.485827,-1.0755951
104,1436283204572,2.168548,9.788095,-1.1755531
105,1436283204591,1.9381063,9.384073,-1.1162965
106,1436283204618,1.8483237,9.422979,-1.103727
107,1436283204633,1.894412,9.69113,-1.2617443
108,1436283204655,1.8549078,9.61272,-1.1091139
109,1436283204671,1.9578584,9.570822,-1.1384429
110,1436283204703,2.0248961,9.452907,-1.0085574
111,1436283204710,2.1739352,9.576807,-1.0498575
112,1436283204733,2.3953989,9.921572,-1.1121067
113,1436283204751,2.280477,9.776124,-1.0702082
114,1436283204771,2.2224178,9.694122,-1.055843
115,1436283204793,2.0775685,9.576208,-1.0684125
116,1436283204815,1.988983,9.574412,-1.0809821
117,1436283204833,1.9985598,9.711481,-1.1851299
118,1436283204853,1.9476831,9.614515,-1.1492168
119,1436283204873,1.8327614,9.478046,-1.1001357
120,1436283204893,1.8608932,9.59177,-1.127669
121,1436283204911,1.910573,9.726444,-1.163582
122,1436283204930,1.8201919,9.572019,-1.1025299
123,1436283204950,1.9009962,9.467272,-0.9816227
124,1436283204970,1.8219875,9.487623,-0.9708488
125,1436283204992,1.9147629,9.593566,-1.0313023
126,1436283205010,1.8806454,9.527725,-0.97982705
127,1436283205031,2.022502,9.775525,-0.97384155
128,1436283205050,2.047641,9.697116,-1.0103531
129,1436283205070,1.9835961,9.647436,-1.009156
130,1436283205090,2.054225,9.70789,-1.0067618
131,1436283205110,1.9428947,9.60015,-1.0109516
132,1436283205133,1.8088194,9.501988,-0.9995792
133,1436283205152,1.7914615,9.598354,-1.0426749
134,1436283205173,1.9871874,9.594165,-1.027711
135,1436283205191,2.0278888,9.545084,-1.0079589
136,1436283205211,2.0410569,9.623494,-1.0737995
137,1436283205232,2.1015105,9.73662,-1.1025299
138,1436283205352,2.0446482,9.645041,-1.0881647
139,1436283205353,2.1733365,9.566033,-1.0283096
140,1436283205354,2.2720973,9.552865,-1.0133458
141,1436283205355,2.3133974,9.6845455,-1.0366893
142,1436283205356,2.3014264,9.626487,-1.0618285
143,1436283205357,2.32058,9.610326,-1.0486604
144,1436283205408,2.3050177,9.624092,-1.0702082
145,1436283205409,2.3523033,9.583989,-1.0588357
146,1436283205413,2.4127567,9.654019,-1.0923545
147,1436283205456,2.355296,9.725846,-1.0971429
148,1436283205457,2.2894554,9.622895,-1.0654198
149,1436283205479,2.2278047,9.528923,-1.0474633
150,1436283205490,2.2403743,9.606135,-1.0642227
151,1436283205513,2.2720973,9.537302,-1.055843
152,1436283205530,2.224812,9.577405,-1.0600328
153,1436283205551,2.2218192,9.567828,-1.0522517
154,1436283205572,2.2559366,9.583989,-1.0486604
155,1436283205593,2.3145945,9.585785,-1.0600328
156,1436283205613,2.3319526,9.609727,-1.0851719
157,1436283205632,2.2996306,9.613917,-1.0941502
158,1436283205653,2.2319946,9.568427,-1.0690111
159,1436283205673,2.2373815,9.612122,-1.0761937
160,1436283205693,2.2894554,9.584588,-1.0570401
161,1436283205713,2.3331497,9.606734,-1.0636241
162,1436283205733,2.3110032,9.664195,-1.1127052
163,1436283205751,2.284667,9.570822,-1.0851719
164,1436283205773,2.2822728,9.499594,-1.0570401
165,1436283205793,2.271499,9.635465,-1.1013328
166,1436283205812,2.2349873,9.704897,-1.1665748
167,1436283205832,2.1960814,9.64983,-1.1312603
168,1436283205853,2.1428106,9.476251,-1.09834
