id,attr_time,attr_x,attr_y,attr_z
1,1436283202518,9.376891,0.27114335,2.80361
2,1436283202538,9.403227,0.30286652,2.767697
3,1436283202558,9.43914,0.31004912,2.7647045
4,1436283202579,9.443929,0.29927522,2.735974
5,1436283202601,9.408015,0.2896984,2.7311857
6,1436283202619,9.430161,0.25378537,2.743755
7,1436283202640,9.442732,0.26994625,2.7766755
8,1436283202676,9.416395,0.2621651,2.7808652
9,1436283202703,9.400833,0.30765492,2.783858
10,1436283202704,9.376891,0.2896984,2.7820623
11,1436283202717,9.377489,0.25617957,2.7539306
12,1436283202737,9.460688,0.2825158,2.7449522
13,1436283202757,9.470863,0.29388827,2.735974
14,1436283202781,9.457695,0.2873042,2.7623103
15,1436283202800,9.423578,0.2825158,2.7682958
16,1436283202819,9.359533,0.26994625,2.7449522
17,1436283202839,9.40203,0.3333926,2.7299886
18,1436283202866,9.446921,0.3609259,2.682703
19,1436283202924,9.4295635,0.3513491,2.7700913
20,1436283202925,9.394249,0.28550854,2.955642
21,1436283202943,9.297882,0.3429694,3.0238767
22,1436283202944,9.344569,0.28431144,2.9783869
23,1436283202958,9.394848,0.28550854,2.8030117
24,1436283202978,9.391854,0.2861071,2.8060043
25,1436283202998,9.438541,0.2645593,2.8694508
26,1436283203018,9.416395,0.25498247,2.8443117
27,1436283203038,9.3738985,0.28670564,2.8006175
28,1436283203058,9.357139,0.32621,2.782661
29,1436283203078,9.354146,0.3561375,2.7928362
30,1436283203098,9.321824,0.32142156,2.8646624
31,1436283203118,9.353547,0.31364042,2.9113493
32,1436283203138,9.400833,0.31603462,2.8862102
33,1436283203158,9.448118,0.31483752,2.870648
34,1436283203179,9.43495,0.320823,2.8700492
35,1436283203198,9.384073,0.28311434,2.8909986
36,1436283203219,9.31524,0.29269117,2.9203274
37,1436283203239,9.370906,0.31124622,2.9083564
38,1436283203259,9.424775,0.3405752,2.835932
39,1436283203279,9.412206,0.3549404,2.8449101
40,1436283203299,9.378687,0.3429694,2.8640637
41,1436283203322,9.324817,0.29927522,2.8862102
