id,attr_time,attr_x,attr_y,attr_z
1,1436284525414,-8.27513,-2.90759,4.5074
2,1436284525432,-8.28627,-2.81151,4.56574
3,1436284525453,-8.26424,-3.05319,4.47972
4,1436284525472,-8.24974,-2.91383,4.5103
5,1436284525492,-8.26062,-2.96428,4.52036
6,1436284525513,-8.26462,-2.94089,4.53104
7,1436284525532,-8.29646,-2.94672,4.49506
8,1436284525641,-8.28657,-2.92441,4.52312
9,1436284525642,-8.27176,-2.94104,4.52004
10,1436284525643,-8.27353,-2.9594,4.54285
11,1436284525644,-8.25145,-2.86958,4.49588
12,1436284525645,-8.26759,-2.96262,4.50404
13,1436284525649,-8.28844,-2.9304,4.54239
14,1436284525670,-8.2569,-2.97646,4.55006
15,1436284525689,-8.29555,-2.98819,4.50616
16,1436284525736,-8.27487,-2.96355,4.58801
17,1436284525737,-8.30747,-2.93997,4.58841
18,1436284525747,-8.24312,-2.98495,4.52564
19,1436284525766,-8.25081,-3.0009,4.44569
20,1436284525786,-8.25354,-2.88745,4.52034
21,1436284525806,-8.25723,-2.99678,4.49319
22,1436284525826,-8.26132,-2.9339,4.50728
23,1436284525847,-8.24881,-2.96391,4.50317
24,1436284525865,-8.26268,-2.89098,4.56203
25,1436284525885,-8.25971,-2.907,4.57397
26,1436284525905,-8.27188,-2.91339,4.54115
27,1436284525924,-8.26457,-2.91405,4.54524
28,1436284525943,-8.25287,-2.99915,4.57141
29,1436284525965,-8.21855,-2.86801,4.57812
30,1436284525983,-8.25089,-3.00955,4.54597
31,1436284526003,-8.29842,-2.96399,4.60417
32,1436284526023,-8.23282,-2.92836,4.52339
33,1436284526043,-8.22855,-2.94928,4.52673
34,1436284526062,-8.28627,-2.91724,4.55913
35,1436284526083,-8.24417,-2.84988,4.48412
36,1436284526101,-8.24489,-2.7979,4.73088
37,1436284526122,-8.30058,-3.51462,4.28401
38,1436284526141,-8.19446,-2.48872,4.8205
39,1436284526161,-8.34688,-3.18132,4.41856
40,1436284526181,-8.17905,-2.83775,4.62407
41,1436284526201,-8.3185,-2.95979,4.55037
42,1436284526220,-8.27296,-2.94595,4.64935
43,1436284526240,-8.19003,-3.0585,4.43596
44,1436284526260,-8.30518,-2.87025,4.59186
45,1436284526279,-8.26328,-2.96776,4.51596
46,1436284526299,-8.31276,-2.97879,4.6382
47,1436284526319,-8.2831,-2.97971,4.50383
48,1436284526339,-8.2691,-2.87036,4.48514
49,1436284526358,-8.15877,-2.92612,4.64792
50,1436284526378,-8.21381,-3.00034,4.60716
51,1436284526398,-8.24811,-2.97491,4.65923
52,1436284526417,-8.24237,-3.13327,4.48363
53,1436284526438,-8.30254,-2.82941,4.49834
54,1436284526457,-8.36958,-3.048,4.5598
