id,attr_time,attr_x,attr_y,attr_z
1,1436283864003,-1.3994108,10.030508,1.6932992
2,1436283864025,-1.411382,10.055049,1.7447745
3,1436283864048,-1.3545196,9.968858,1.83336
4,1436283864068,-1.2970588,9.947908,1.8423382
5,1436283864088,-1.335366,9.992201,1.7064673
6,1436283864108,-1.4137762,10.012551,1.7010803
7,1436283864125,-1.4030021,9.973646,1.79206
8,1436283864148,-1.3742718,9.880871,1.7992426
9,1436283864165,-1.3431472,9.902418,1.7274165
10,1436283864184,-1.3371617,10.001179,1.7064673
11,1436283864208,-1.3150153,10.032902,1.7675194
12,1436283864224,-1.2910733,9.988609,1.8076223
13,1436283864244,-1.34195,9.948506,1.7735049
14,1436283864265,-1.412579,9.972448,1.6579847
15,1436283864285,-1.4041992,10.053851,1.6753427
16,1436283864309,-1.3365631,9.983821,1.8076223
17,1436283864325,-1.2719196,9.975441,1.8309658
18,1436283864348,-1.2892777,9.999982,1.7645266
19,1436283864364,-1.2366052,9.995792,1.7411832
20,1436283864385,-1.2156559,10.02153,1.7429788
21,1436283864405,-1.246182,10.029311,1.7950528
22,1436283864425,-1.2515689,10.001778,1.7944542
23,1436283864450,-1.3030443,9.970653,1.7770962
24,1436283864513,-1.365892,9.954493,1.7657237
25,1436283864514,-1.3754689,9.959281,1.7399861
26,1436283864515,-1.3377602,9.962274,1.745373
27,1436283864530,-1.3192052,10.002377,1.7555484
28,1436283864547,-1.2509704,10.001778,1.7998412
29,1436283864567,-1.2515689,10.008362,1.7866731
30,1436283864585,-1.2348095,9.973646,1.75076
31,1436283864637,-1.2282255,9.955689,1.7687165
32,1436283864644,-1.2779051,9.9790325,1.7537527
33,1436283864645,-1.3072342,10.042479,1.7286136
34,1436283864672,-1.3760674,10.065224,1.7298107
35,1436283864687,-1.3186066,9.980229,1.7663223
36,1436283864705,-1.34195,9.914988,1.7292122
37,1436283864728,-1.411382,9.949704,1.6585833
38,1436283864748,-1.417966,10.028113,1.714847
39,1436283864766,-1.3928268,10.044873,1.7890673
40,1436283864788,-1.3682863,9.983821,1.780089
41,1436283864808,-1.3820529,9.952697,1.721431
42,1436283864826,-1.3652935,9.998186,1.6831238
