id,attr_time,attr_x,attr_y,attr_z
1,1436540238047,-0.6171055,10.035296,1.1749545
2,1436540238048,-0.6655881,10.162787,1.1480197
3,1436540238049,-0.5434838,10.206482,1.2791022
4,1436540238089,-0.40162733,10.163386,1.401805
5,1436540238090,-0.39803603,10.140042,1.3509283
6,1436540238103,-0.48482585,10.146626,1.2862848
7,1436540238120,-0.6374562,10.143036,1.2108675
8,1436540238140,-0.75477207,10.1382475,1.228824
9,1436540238161,-0.700304,10.102334,1.3186066
10,1436540238184,-0.6655881,10.043077,1.3263878
11,1436540238203,-0.700304,10.041282,1.2479776
12,1436540238221,-0.7344214,10.13705,1.1851299
13,1436540238241,-0.6799533,10.152613,1.2515689
14,1436540238262,-0.55246204,10.108319,1.3694834
15,1436540238284,-0.5201403,10.085575,1.3575124
16,1436540238304,-0.54288524,10.163984,1.2473791
17,1436540238324,-0.5327099,10.17835,1.2791022
18,1436540238344,-0.5141548,10.213664,1.3120226
19,1436540238364,-0.6147113,10.175357,1.3162124
20,1436540238384,-0.6404489,10.019734,1.3533225
21,1436540238404,-0.6865373,10.034698,1.2521675
22,1436540238424,-0.74399817,10.161591,1.1659763
23,1436540238444,-0.66618663,10.173561,1.2677298
24,1436540238463,-0.48602295,10.1226845,1.3371617
25,1436540238483,-0.5117606,10.111911,1.323395
26,1436540238504,-0.688333,10.120889,1.2587515
27,1436540238522,-0.7565677,10.183737,1.2216414
28,1436540238541,-0.6931214,10.148422,1.2826935
29,1436540238561,-0.5470751,10.114903,1.347337
30,1436540238586,-0.48722005,10.042479,1.3623008
31,1436540238608,-0.52073884,10.1161,1.2533646
32,1436540238626,-0.59136784,10.231023,1.2006922
33,1436540238644,-0.6159084,10.18254,1.328782
34,1436540238661,-0.5189432,10.065224,1.4119805
35,1436540238681,-0.5363012,10.073005,1.2964603
36,1436540238701,-0.6560113,10.162787,1.1803415
37,1436540238723,-0.6781576,10.141838,1.2228385
38,1436540238741,-0.61112,10.064626,1.3192052
39,1436540238795,-0.59855044,10.047866,1.2850877
40,1436540238796,-0.6440403,10.102933,1.2264298
41,1436540238814,-0.6548142,10.155006,1.1707647
42,1436540238821,-0.66139823,10.205285,1.1767502
43,1436540238845,-0.6135142,10.286089,1.2318168
44,1436540238862,-0.47225627,10.261548,1.3389573
45,1436540238892,-0.4369418,10.214862,1.2557588
46,1436540238901,-0.5351041,10.18254,1.1031284
47,1436540238922,-0.6901286,10.226234,0.97384155
48,1436540238941,-0.6679823,10.152613,1.0588357
49,1436540238962,-0.5303157,10.006566,1.2360066
50,1436540238984,-0.49200845,9.935937,1.2575544
51,1436540239001,-0.48362875,9.903615,1.1641805
52,1436540239023,-0.5303157,10.034698,1.0259154
53,1436540239042,-0.62249243,10.141838,1.0420763
54,1436540239068,-0.6799533,10.110115,1.1719618
55,1436540239081,-0.5835867,10.055049,1.2204443
56,1436540239103,-0.45609543,10.070012,1.1611878
57,1436540239125,-0.40880993,10.126875,0.9911995
58,1436540239144,-0.4261679,10.156802,0.8912416
59,1436540239164,-0.42317516,10.272921,0.7697359
60,1436540239182,-0.43514615,10.24419,0.82719666
61,1436540239205,-0.3866636,10.102334,0.96426475
62,1436540239225,-0.3788824,10.09575,0.93852705
63,1436540239245,-0.38845924,10.049063,0.88286185
64,1436540239264,-0.26276365,9.89344,1.0229226
65,1436540239283,-0.08259996,9.713875,1.1534066
66,1436540239304,0.12988544,9.649231,1.2228385
67,1436540239326,0.21547815,9.724648,1.3144168
68,1436540239345,0.2705448,9.866506,1.2258313
69,1436540239365,0.27593175,9.928755,1.2324153
70,1436540239385,0.19393034,9.974244,1.3102269
71,1436540239403,-0.04369418,9.903615,1.3796587
72,1436540239423,-0.2717419,9.932345,1.447295
73,1436540239442,-0.49081135,10.097546,1.5071499
74,1436540239464,-0.7308301,10.364499,1.632247
