id,attr_time,attr_x,attr_y,attr_z
1,1436539608011,-8.72777,-3.50275,3.07268
2,1436539608031,-8.75423,-3.46811,3.05064
3,1436539608051,-8.80826,-3.41586,3.20088
4,1436539608071,-8.70892,-3.3857,3.19788
5,1436539608090,-8.69768,-3.38371,3.17181
6,1436539608110,-8.73904,-3.34758,3.21944
7,1436539608130,-8.73689,-3.3793,3.26056
8,1436539608149,-8.70519,-3.43159,3.25253
9,1436539608169,-8.68932,-3.43039,3.15186
10,1436539608189,-8.75707,-3.47313,3.19392
11,1436539608209,-8.75671,-3.50777,3.16667
12,1436539608228,-8.72797,-3.48975,3.17546
13,1436539608249,-8.74587,-3.42113,3.14883
14,1436539608288,-8.7128,-3.36815,3.22775
15,1436539608307,-8.67081,-3.43541,3.24858
16,1436539608327,-8.70091,-3.43895,3.1684
17,1436539608347,-8.69397,-3.41776,3.15497
18,1436539608367,-8.73868,-3.39693,3.22612
19,1436539608387,-8.70343,-3.42508,3.24945
20,1436539608406,-8.71777,-3.50046,3.23505
21,1436539608427,-8.72315,-3.52765,3.17456
22,1436539608446,-8.683,-3.50711,3.15979
23,1436539608466,-8.69635,-3.47462,3.19399
24,1436539608486,-8.69893,-3.41278,3.23297
25,1436539608505,-8.65999,-3.44783,3.2308
26,1436539608524,-8.70373,-3.45079,3.21881
27,1436539608545,-8.72461,-3.41591,3.21361
28,1436539608565,-8.70537,-3.40025,3.13605
29,1436539608582,-8.72066,-3.36647,3.16348
30,1436539608604,-8.79332,-3.38896,3.129
31,1436539608623,-8.78604,-3.41077,3.14098
32,1436539608644,-8.73886,-3.36014,3.12146
33,1436539608663,-8.69418,-3.31662,3.13342
34,1436539608683,-8.73338,-3.27943,3.29759
35,1436539608703,-8.76056,-3.3754,3.31883
36,1436539608723,-8.73291,-3.50253,3.218
37,1436539608743,-8.76878,-3.48792,3.13443
38,1436539608762,-8.76935,-3.45915,3.18008
39,1436539608783,-8.6819,-3.41367,3.20479
40,1436539608801,-8.67232,-3.47371,3.22096
41,1436539608822,-8.64549,-3.50359,3.15607
42,1436539608842,-8.67058,-3.47813,3.20642
43,1436539608860,-8.69142,-3.42537,3.22433
