id,attr_time,attr_x,attr_y,attr_z
1,1436539608017,0.28491,9.605537,-0.5153519
2,1436539608038,0.39983168,9.582792,-0.48961425
3,1436539608057,0.29209262,9.603742,-0.24420857
4,1436539608079,0.1933318,9.605537,-0.39743748
5,1436539608099,0.14604631,9.551667,-0.42317516
6,1436539608127,0.28670564,9.583989,-0.48003745
7,1436539608251,0.34476504,9.60853,-0.4189853
8,1436539608252,0.32621,9.567828,-0.3465607
9,1436539608253,0.2088941,9.5809965,-0.40162733
10,1436539608254,0.17178397,9.617508,-0.47046062
11,1436539608256,0.22445641,9.652225,-0.47764325
12,1436539608257,0.28909984,9.619903,-0.29747957
13,1436539608258,0.31004912,9.587581,-0.272939
14,1436539608277,0.25737667,9.55047,-0.37229836
15,1436539608297,0.22924481,9.554062,-0.53570265
16,1436539608317,0.2172738,9.614515,-0.4213795
17,1436539608342,0.27234045,9.6528225,-0.3776853
18,1436539608357,0.30346507,9.616311,-0.28790274
19,1436539608379,0.32321724,9.55047,-0.35254622
20,1436539608407,0.23822308,9.552865,-0.47046062
21,1436539608418,0.15562311,9.633669,-0.3561375
22,1436539608441,0.25258827,9.624092,-0.57041854
23,1436539608460,0.3633201,9.55885,-0.32621
24,1436539608479,0.30107087,9.573814,-0.39863458
25,1436539608501,0.22385786,9.588778,-0.30945057
26,1436539608520,0.22026655,9.587581,-0.49919105
27,1436539608540,0.260968,9.631873,-0.4297592
28,1436539608560,0.30645782,9.621099,-0.37349546
29,1436539608579,0.32202014,9.519944,-0.50158525
30,1436539608601,0.2172738,9.555858,-0.42078096
31,1436539608622,0.22325931,9.613318,-0.42676646
32,1436539608638,0.26515785,9.623494,-0.35254622
33,1436539608659,0.3465607,9.568427,-0.45729253
34,1436539608684,0.25019407,9.640852,-0.30406362
35,1436539608707,0.18195933,9.630077,-0.44592008
36,1436539608747,0.18076223,9.594165,-0.52492875
37,1436539608748,0.25677812,9.562442,-0.39264908
38,1436539608757,0.32022446,9.576807,-0.44472298
