id,attr_time,attr_x,attr_y,attr_z
1,1436539608003,9.762358,-0.026934769,1.4443022
2,1436539608022,9.710882,0.13706805,1.3479356
3,1436539608042,9.725846,0.23582886,1.365892
4,1436539608062,9.82341,0.12030864,1.4646529
5,1436539608088,9.8916445,-0.048482586,1.4987702
6,1436539608102,9.822811,-0.024540568,1.4915876
7,1436539608128,9.746197,0.15322891,1.447295
8,1436539608150,9.746197,0.16759412,1.4167689
9,1436539608162,9.805453,0.12210429,1.4305356
10,1436539608186,9.880871,-0.020350715,1.4927847
11,1436539608201,9.857527,0.022744916,1.5011644
12,1436539608223,9.742006,0.12928689,1.4383167
13,1436539608243,9.68275,0.15861586,1.4293385
14,1436539608264,9.81084,0.11372458,1.4460979
15,1436539608283,9.93893,0.038307227,1.4969746
16,1436539608305,9.862315,0.015562311,1.4862007
17,1436539608324,9.667188,0.073621705,1.4945804
18,1436539608344,9.685743,0.12509704,1.4945804
19,1436539608364,9.832388,0.13706805,1.4879963
20,1436539608381,9.906608,0.046088383,1.508347
21,1436539608403,9.865907,-0.019752163,1.4969746
22,1436539608425,9.677363,0.0664391,1.4532804
23,1436539608444,9.685144,0.1412579,1.4909891
24,1436539608465,9.861717,0.1376666,1.5472529
25,1436539608486,9.919776,0.036511578,1.5131354
26,1436539608504,9.863512,0.04129998,1.4323312
27,1436539608525,9.662399,0.16519992,1.42455
28,1436539608545,9.676167,0.15442601,1.4957775
29,1436539608565,9.821015,0.018555064,1.5741876
30,1436539608584,9.905411,-0.053869538,1.5813702
31,1436539608603,9.774927,0.02873042,1.5227122
32,1436539608634,9.6528225,0.14903906,1.4329298
33,1436539608703,9.762358,0.20709845,1.4347254
34,1436539608704,9.856929,0.12090719,1.5113398
35,1436539608705,9.876082,-0.02813187,1.5711949
36,1436539608706,9.759963,-0.061052144,1.536479
37,1436539608723,9.661202,0.12569559,1.4562732
38,1436539608745,9.706693,0.19752164,1.4383167
39,1436539608763,9.859921,0.12808979,1.4981717
40,1436539608782,9.907805,0.059855044,1.5155296
41,1436539608804,9.895236,-0.02932897,1.5233108
42,1436539608822,9.758167,0.020350715,1.4891934
43,1436539608844,9.669582,0.16400282,1.4137762
44,1436539608862,9.709685,0.2136825,1.407192
45,1436539608885,9.849147,0.10354923,1.4425066
46,1436539608905,9.939528,-0.02873042,1.5041572
47,1436539608925,9.879673,-0.04309563,1.4718355
48,1436539608944,9.728839,0.060453594,1.4449008
49,1436539608965,9.668385,0.13467385,1.3904326
50,1436539608985,9.717466,0.14065935,1.389834
51,1436539609004,9.855731,0.08200141,1.4161704
52,1436539609025,9.927557,0.04070143,1.412579
53,1436539609045,9.830592,0.055066638,1.4000094
54,1436539609065,9.753379,0.12689269,1.4041992
55,1436539609083,9.773131,0.13587095,1.3892355
56,1436539609102,9.764751,0.090381116,1.3958195
